ticket_id,created_date,severity,system,module,issue_type,short_description,detailed_description,root_cause,remediation_steps,assigned_agent,resolution_time_hours,status,business_impact,recurrence_count,environment
INC024,2026-01-28,P2,SAP ECC,SD,Error,Intercompany billing process generating incorrect tax,VF01 intercompany invoice showing domestic tax instead of zero-rated for cross-border,Tax condition records not maintained for intercompany customer/plant combination,1. Review FTXP tax code configuration 2. Create intercompany tax condition records 3. Rebill affected intercompany invoices 4. Add intercompany tax validation,Agent_SD_01,4.0,Resolved,High,6,Production
INC025,2026-01-29,P1,SAP ECC,BASIS,Performance,SAP system crash due to extended memory exhaustion,System dump with TSV_TNEW_PAGE_ALLOC_FAILED. Multiple users disconnected.,Memory leak in custom ABAP program running as periodic background job,1. Analyze ST22 dumps 2. Identify leaking program via SM04 3. Fix internal table memory handling 4. Increase ztta/roll_extension parameter,Agent_BASIS_01,8.0,Resolved,Critical,7,Production
INC026,2026-01-30,P3,Oracle EBS,INV,Configuration,Oracle cycle count not generating count requests,Cycle count entries not appearing in physical inventory. ABC analysis not running.,Cycle count header not enabled for automatic scheduling in MTL_CYCLE_COUNT_HEADERS,1. Enable auto-schedule in cycle count header 2. Define ABC classes and item assignments 3. Run ABC compilation 4. Generate count requests,Agent_MM_01,2.0,Resolved,Medium,4,Production
INC027,2026-01-31,P2,SAP ECC,MM,Performance,Material master search help extremely slow in MM01,F4 search help on material number taking 30+ seconds. Users frustrated.,Search help program performing full table scan on MARA without proper selection criteria,1. Analyze search help in SE11 2. Add collective search help with prioritized elementary helps 3. Implement max hit restrictions 4. Consider creating custom search help,Agent_DB_01,3.5,Resolved,Medium,16,Production
INC028,2026-02-01,P1,SAP ECC,FI,Error,Payment run F110 failing with bank determination error,Automatic payment run aborting. Vendor payments delayed past due dates.,House bank configuration changed during maintenance without updating payment method supplements,1. Check FBZP payment method configuration 2. Restore house bank assignment 3. Verify bank determination rules 4. Restart F110 payment run,Agent_FI_01,5.0,Resolved,Critical,5,Production
INC029,2026-02-02,P3,SAP ECC,SD,Performance,Sales order report VA05 slow for large date ranges,VA05 taking over 20 minutes for monthly reports. Sales team productivity impacted.,Non-optimized custom report variant loading all fields including pricing conditions,1. Create optimized report variant 2. Limit default date range 3. Remove unnecessary ALV fields 4. Consider creating custom transaction with reduced dataset,Agent_SD_01,2.5,Resolved,Medium,9,Production
INC030,2026-02-03,P2,Oracle EBS,WMS,Error,Oracle WMS task dispatching not assigning tasks,Warehouse tasks created but not dispatched to operators. Pick operations manual.,Task type rules not configured for new warehouse zone in WMS_RULES,1. Check WMS rule configuration 2. Add rules for new warehouse zone 3. Assign operator resources 4. Test task dispatch and confirm,Agent_MM_01,4.0,Resolved,High,6,Production
INC031,2026-02-04,P1,SAP ECC,MM,Performance,IDOC processing queue blocked for material master,Inbound IDOCs for MATMAS stuck in status 64. Master data sync halted across systems.,TRFC queue locked after transactional RFC failure during peak load,1. Check SM58 for stuck tRFC 2. Unlock TRFC queue in SMQ2 3. Reprocess failed IDOCs via BD87 4. Monitor IDOC status in WE05,Agent_BASIS_01,4.0,Resolved,Critical,11,Production
INC032,2026-02-05,P2,SAP ECC,FI,Configuration,Withholding tax not calculating on vendor invoices,MIRO not deducting withholding tax. Tax compliance at risk.,Withholding tax type and code not assigned to vendor master after migration,1. Check vendor master FK03 WHT section 2. Update WHT type/code via FK02 3. Recalculate affected invoices 4. Verify with J1INCHLN report,Agent_FI_01,3.0,Resolved,High,4,Production
INC033,2026-02-06,P3,SAP ECC,BASIS,Access,Transport request stuck in import queue,Transport requests failing with return code 8. Development changes not reaching QA.,Import queue locked by failed transport with data dictionary conflicts,1. Check STMS import queue 2. Analyze transport log for RC=8 3. Resolve DDIC conflicts 4. Unlock queue and reimport,Agent_BASIS_01,3.5,Resolved,Medium,8,Production
INC034,2026-02-07,P2,Oracle EBS,OM,Error,Oracle Order Management booking failing with holds,Sales orders stuck with credit check hold. Customer deliveries delayed.,Credit check rule using outdated credit limit from interface not synced,1. Check credit limits in AR 2. Update credit rules 3. Release holds on valid orders 4. Fix credit limit sync interface,Agent_SD_01,3.0,Resolved,High,5,Production
INC035,2026-02-08,P1,SAP ECC,MM,Performance,Database locks on EKBE table during GR posting,Exclusive lock waits on EKBE causing MIGO timeouts during peak receiving hours.,Concurrent goods receipts on same PO causing lock escalation on EKBE,1. Analyze SM12 lock entries 2. Implement GR scheduling per PO 3. Enable row-level locking 4. Stagger receiving windows,Agent_DB_01,6.0,Resolved,Critical,17,Production
INC036,2026-02-09,P3,SAP ECC,SD,Configuration,Rebate agreement settlement not processing,VBO1 rebate settlement generating zero accruals. Sales incentives not being tracked.,Rebate condition type BO01 scale base not maintained for new product hierarchy,1. Check VBO3 agreement details 2. Maintain scale base in rebate condition 3. Run VBOF retroactive rebate adjustment 4. Verify accrual postings,Agent_SD_01,3.0,Resolved,Medium,3,Production
INC037,2026-02-10,P2,SAP ECC,FI,Error,Automatic clearing F.13 not matching open items,Automatic clearing failing to match invoice and payment line items. AR aging inflated.,Clearing criteria in FBKP missing reference field for payment allocation,1. Review FBKP clearing rules 2. Add ZUONR to clearing criteria 3. Run F.13 test mode first 4. Execute clearing for affected company codes,Agent_FI_01,2.5,Resolved,High,9,Production
INC038,2026-02-11,P1,SAP ECC,BASIS,Performance,RFC connections to satellite systems failing,RFC destinations returning COMMUNICATION_FAILURE. BW extraction and PI interfaces down.,Gateway process overloaded with orphaned RFC connections not being released,1. Check SMGW gateway monitor 2. Kill orphaned connections 3. Increase gw/max_conn parameter 4. Implement RFC connection pooling,Agent_BASIS_01,5.0,Resolved,Critical,10,Production
INC039,2026-02-12,P3,Oracle EBS,AP,Configuration,Oracle AP payment format generating invalid file,Payment file rejected by bank. ACH/EFT payments not transmitted.,Payment format template not updated for new bank file specification,1. Check payment format in IBY 2. Update XSLT template 3. Regenerate payment file 4. Validate with bank test upload,Agent_FI_01,4.0,Resolved,High,5,Production
INC040,2026-02-13,P2,SAP ECC,MM,Error,Batch determination in VL02N not finding valid batches,Delivery processing not finding available batches despite stock availability.,Batch search strategy condition records expired in transaction MBC1,1. Check batch search strategy in OMCE 2. Extend condition records in MBC1 3. Verify batch classification in MSC3N 4. Reprocess deliveries,Agent_MM_01,3.0,Resolved,High,7,Production
INC041,2026-02-14,P1,SAP ECC,FI,Performance,Year-end balance carryforward taking excessive time,FAGLGVTR running for 18+ hours. Year-end close deadline at risk.,All company codes being processed sequentially instead of parallel execution,1. Enable parallel processing in FAGLGVTR 2. Segment by company code groups 3. Schedule during low-activity window 4. Monitor via SM37,Agent_DB_01,10.0,Resolved,Critical,2,Production
INC042,2026-02-15,P3,SAP ECC,SD,Error,Credit memo request not triggering workflow approval,VA01 credit memo orders bypassing approval workflow. Revenue leakage risk.,Workflow event linkage broken after support pack upgrade for credit order type,1. Check SWE2 event type linkage 2. Restore workflow trigger for credit memo 3. Test with SWDD 4. Process pending credit memos through workflow,Agent_SD_01,2.0,Resolved,Medium,4,Production
INC043,2026-02-16,P2,SAP ECC,BASIS,Error,Spool system overflow causing print failures,SP01 showing thousands of unprocessed spool requests. Output management paralyzed.,Spool work processes hung due to printer connectivity issues over weekend,1. Check spool administration SP02 2. Delete obsolete spool requests 3. Restart spool work processes 4. Fix printer connectivity and test,Agent_BASIS_01,3.0,Resolved,High,12,Production
INC044,2026-02-17,P1,Oracle EBS,GL,Performance,Oracle GL posting subledger journal entries timeout,Subledger accounting program running indefinitely. Period close blocked.,XLA_AE_LINES table bloated with 500M+ records without partition management,1. Implement table partitioning on XLA_AE_LINES 2. Archive old periods 3. Update statistics 4. Resubmit SLA accounting,Agent_DB_01,12.0,Resolved,Critical,8,Production
INC045,2026-02-18,P3,SAP ECC,MM,Configuration,Vendor evaluation scores not updating,ME61 showing stale vendor scores. Procurement decisions based on outdated data.,Evaluation criteria weights reset to zero during customizing transport,1. Check ME62 evaluation criteria 2. Restore weights from test system 3. Run ME63 automatic evaluation 4. Verify scores across purchasing orgs,Agent_MM_01,2.0,Resolved,Low,3,Production
INC046,2026-02-19,P2,SAP ECC,FI,Error,Dunning run F150 generating letters for cleared items,Customers receiving dunning notices for already-paid invoices. Customer complaints.,Dunning date selection not excluding recently cleared items within grace period,1. Review F150 dunning parameters 2. Adjust clearing date consideration 3. Suppress notices for recently cleared items 4. Send apology communications,Agent_FI_01,2.0,Resolved,High,6,Production
INC047,2026-02-20,P1,SAP ECC,SD,Performance,Availability check ATP taking 45 seconds per line item,CO09 availability check response times unacceptable. Order entry productivity crashed.,ATP check scope including all MRP elements instead of confirmed quantities only,1. Review OVZG ATP check configuration 2. Restrict checking scope to confirmed receipts 3. Optimize ATP relevant tables 4. Enable ATP check caching,Agent_DB_01,4.0,Resolved,Critical,11,Production
INC048,2026-02-21,P3,Oracle EBS,HR,Configuration,Oracle HRMS absence accrual plan not calculating,PTO accruals showing zero for new year. Employee absence balances incorrect.,Accrual plan effective dates not rolled over for 2026 fiscal year,1. Update accrual plan dates 2. Run accrual process 3. Verify individual balances 4. Communicate corrected balances to employees,Agent_HR_01,2.5,Resolved,Medium,3,Production
INC049,2026-02-22,P2,SAP ECC,MM,Performance,Purchase order print program extremely slow,ME9F mass output processing taking 4+ hours for monthly PO prints.,Custom smartform loading vendor logo images from external URL for each PO,1. Cache vendor logos locally 2. Optimize smartform logic 3. Enable parallel output processing 4. Schedule during off-peak hours,Agent_MM_01,3.0,Resolved,Medium,8,Production
INC050,2026-02-23,P1,SAP ECC,BASIS,Performance,SAP Web Dispatcher high response times for Fiori apps,Fiori launchpad loading in 30+ seconds. All Fiori-based operations impacted.,Web Dispatcher connection pool exhausted due to non-released HTTP connections,1. Check ICM monitor in SMICM 2. Increase connection pool size 3. Configure keep-alive timeout 4. Restart ICM and Web Dispatcher,Agent_BASIS_01,3.0,Resolved,Critical,13,Production
